2026-02-02 01:19:03.067 | INFO     | __main__:stop:289 - Stopping Whale Watcher...
2026-02-02 01:19:03.067 | INFO     | __main__:stop:313 - Whale Watcher stopped
2026-02-02 01:19:18.287 | INFO     | src.database.db:init:68 - Database initialized at /tmp/whale_watcher.db
2026-02-02 01:19:18.288 | INFO     | __main__:initialize:156 - Database initialized: /tmp/whale_watcher.db
2026-02-02 01:19:18.289 | INFO     | __main__:initialize:183 - Polymarket client initialized
2026-02-02 01:19:18.290 | INFO     | __main__:initialize:188 - Kalshi client initialized
2026-02-02 01:19:18.292 | INFO     | __main__:initialize:190 - Initialization complete
2026-02-02 01:19:18.292 | INFO     | __main__:start:242 - Starting Whale Watcher...
2026-02-02 01:19:18.292 | INFO     | src.alerts.alert_manager:start:73 - Alert manager started
2026-02-02 01:19:18.293 | INFO     | __main__:start:261 - Whale Watcher started - monitoring for whale activity
2026-02-02 01:19:18.294 | INFO     | src.alerts.alert_manager:_process_alerts:104 - Alert processor started
2026-02-02 01:19:18.294 | INFO     | __main__:_run_platform:272 - Starting Polymarket WebSocket listener...
2026-02-02 01:19:18.304 | INFO     | __main__:_run_platform:272 - Starting Kalshi WebSocket listener...
2026-02-02 01:19:18.308 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:18.309 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:18.310 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:18.311 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:23.356 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:23.359 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:23.360 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:23.361 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:28.366 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:28.368 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:28.369 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:28.375 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:33.385 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:33.389 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:33.392 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:33.393 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:38.406 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:38.408 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:38.409 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:38.410 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:43.425 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:43.428 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:43.430 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:43.433 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:48.443 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:48.444 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:48.445 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:48.448 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:53.457 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:53.461 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:53.462 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:53.463 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:58.480 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:58.480 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:19:58.481 | ERROR    | src.platforms.polymarket:connect:222 - Failed to connect to Polymarket WebSocket: proxy rejected connection: HTTP 403
2026-02-02 01:19:58.482 | ERROR    | src.platforms.polymarket:start_listening:271 - WebSocket error: proxy rejected connection: HTTP 403
2026-02-02 01:20:02.905 | INFO     | __main__:signal_handler:354 - Received shutdown signal
2026-02-02 01:20:02.908 | INFO     | __main__:signal_handler:354 - Received shutdown signal
2026-02-02 01:20:02.909 | INFO     | __main__:stop:289 - Stopping Whale Watcher...
